,SRR5962198,SRR5962199,SRR5962200,SRR5962201,SRR5962202,SRR5962203,SRR5962204,SRR5962205,SRR5962206,SRR5962207,SRR5962208,SRR5962209,SRR5962210,SRR5962211,SRR5962212,SRR5962213,SRR5962214,SRR5962215,SRR5962216,SRR5962217,SRR5962218,SRR5962219,SRR5962220,SRR5962221,SRR5962222,SRR5962223,SRR5962224,SRR5962225,SRR5962226,SRR5962227,SRR5962228,SRR5962229,SRR5962230,SRR5962231,SRR5962232,SRR5962233,SRR5962234,SRR5962235,SRR5962236,SRR5962237,SRR5962238,SRR5962239,SRR5962240,SRR5962241
ENSG00000248842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ENSG00000248843,0,0,11,3,5,3,14,3,0,0,8,10,4,6,16,24,31,18,22,22,19,19,1,15,11,5,11,23,35,14,3,0,31,4,8,17,19,11,14,19,17,15,42,34
ENSG00000248844,0,0,0,0,54,5,11,0,0,0,122,10,14,13,25,131,44,18,87,28,186,9,0,26,6,6,12,75,40,21,0,8,53,0,19,23,36,38,68,0,26,11,78,102
ENSG00000248846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,6,24,0,0,10,0,0,14
ENSG00000253572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10
ENSG00000248848,0,0,0,0,17,0,0,0,3,0,0,0,0,0,25,0,1,0,0,0,0,3,0,3,0,0,9,49,3,0,3,0,0,0,0,0,3,17,0,0,0,0,0,38
ENSG00000134278,527,183,989,652,1222,468,2180,545,369,350,503,258,291,499,249,1475,1734,1895,1218,1591,1807,1830,30,188,814,320,1460,3348,383,2070,887,837,332,330,754,574,1296,646,1191,956,2387,1544,600,397
ENSG00000202474,0,0,3,2,0,0,1,0,0,0,1,0,0,0,4,16,4,4,0,0,4,2,0,2,0,3,0,16,0,0,0,0,4,2,1,5,0,5,10,2,2,5,17,35
ENSG00000264233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230812,0,0,0,0,14,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,29,12,9,0,0,0,0,0,0,0,8,18,11,0,0,0,22
ENSG00000230813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,11
ENSG00000230814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266312,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000230816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000064726,908,655,1651,2881,1654,1508,5473,1220,425,643,482,995,635,952,1231,2296,3753,4742,2283,4723,2719,4182,114,715,1754,492,2409,3662,2845,3687,752,1336,1253,544,4726,1356,2675,1766,2142,4467,1484,3677,1599,2572
ENSG00000230818,0,0,3,3,18,8,8,0,5,9,8,3,0,0,23,0,11,0,8,2,9,3,0,23,0,0,5,21,25,3,0,3,6,5,0,0,6,39,0,8,0,3,5,58
ENSG00000230819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217791,0,0,3,3,11,3,3,0,3,0,0,6,3,3,21,2,0,9,3,14,3,3,0,0,0,3,0,17,9,0,0,6,3,0,0,0,9,14,0,3,3,3,0,5
ENSG00000072506,262,147,546,953,274,367,2045,312,204,267,154,326,118,324,384,782,1098,1111,464,769,658,1676,10,189,690,312,868,2025,760,928,424,821,474,201,886,380,1101,546,606,1383,682,902,377,543
ENSG00000072501,1123,532,1655,3408,1812,2116,5807,931,1013,854,1785,1266,465,1310,1893,4518,5723,4007,3138,2060,4260,1225,103,1064,1652,1433,3593,13587,2618,1157,2326,4473,2664,879,2006,1482,2410,1774,2067,4379,4904,6458,4141,1803
ENSG00000134183,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,6,0,0,0,0,1,1,0,0,1,0
ENSG00000069712,258,114,325,795,706,381,834,194,213,162,311,444,198,202,217,795,945,1037,710,709,842,479,0,153,112,102,614,1071,665,433,197,180,390,75,780,452,488,337,550,430,1246,394,1017,227
ENSG00000270587,2,3,3,9,3,8,16,3,0,0,7,3,0,0,6,19,17,9,2,3,12,7,0,0,0,3,3,17,6,9,6,9,3,3,6,3,3,9,7,8,6,9,11,6
ENSG00000134186,192,84,357,714,844,347,1107,352,160,179,694,377,250,209,348,1278,1755,955,1062,547,2222,928,69,469,811,177,887,1969,1007,1150,314,345,1167,183,918,724,1026,606,1078,1025,1236,1632,1178,452
ENSG00000134184,18,149,32,72,51,21,95,37,22,136,78,265,122,29,26,2544,1675,874,616,111,3800,1266,0,797,40,15,44,49,110,112,29,49,94,197,997,48,29,1672,716,2119,920,48,252,497
ENSG00000227224,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000262710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
